file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,class,18,97,79,18,158,1,7,84,957,0.9429349,0.025604552,0.025604552,46,20,36,8,2,0,38,7,4,0,8,7,2,6,0,0,8,0,54,615,64,1,53,11,13,35,43,114,46,78,4,0,2,0,552,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,innerclass,10,10,0,10,33,1,0,21,0,0.5833334,0.61538464,0.84615386,12,0,10,0,0,2,13,0,0,0,7,1,0,7,0,0,1,0,3,129,12,3,11,0,1,6,7,38,3,22,5,0,0,0,100,26,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$Transition,innerclass,3,3,0,3,15,1,0,3,0,0.36363637,0.8181818,1.0,11,0,8,0,0,3,11,0,0,0,4,0,0,4,0,0,4,0,0,51,9,0,3,0,2,2,0,12,3,4,1,0,0,0,35,26,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\field\AbstractPartialFieldProperty.java,org.joda.time.field.AbstractPartialFieldProperty,class,7,18,11,7,34,1,10,25,276,0.0,0.0,0.0,24,0,22,0,2,0,24,3,0,0,0,0,0,0,0,0,0,0,2,105,26,0,6,0,0,4,10,9,7,6,1,0,0,0,156,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\field\StrictDateTimeField.java,org.joda.time.field.StrictDateTimeField,class,5,8,3,5,7,3,0,6,6,1.0,0.0,0.0,4,1,3,0,1,0,4,0,1,0,1,1,0,1,0,0,1,0,1,25,5,0,1,0,1,0,1,2,0,1,1,0,0,0,59,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\convert\ConverterSet.java,org.joda.time.convert.ConverterSet$Entry,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,8,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeFieldType.java,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,innerclass,6,6,0,6,55,2,0,24,0,0.67857146,0.53333336,1.0,7,0,5,1,0,1,6,0,0,0,4,1,0,4,0,0,4,0,1,135,53,0,2,0,2,0,2,5,1,4,1,0,0,0,69,10,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\chrono\BasicChronology.java,org.joda.time.chrono.BasicChronology$HalfdayField,innerclass,3,3,0,3,4,5,0,6,6,1.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,1,0,1,0,0,1,0,4,15,3,0,0,0,0,1,1,1,0,1,0,0,0,0,23,10,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\format\DateTimeFormatterBuilder.java,org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear,innerclass,10,10,0,10,40,1,0,17,12,0.625,0.2,0.2,8,0,5,2,0,1,6,0,0,0,3,0,0,3,0,0,3,0,4,152,13,2,7,3,11,0,34,34,25,19,4,0,0,0,65,8,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\chrono\BasicChronology.java,org.joda.time.chrono.BasicChronology$YearInfo,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,10,0
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\LocalDate.java,org.joda.time.LocalDate$Property,innerclass,6,6,0,6,19,2,0,20,0,0.50877196,0.64705884,0.6691176,19,0,14,2,2,1,17,0,0,0,3,1,0,3,0,0,1,0,0,67,16,0,0,0,0,0,1,6,0,4,0,0,0,0,186,25,0
