file,class,method,variable,usage
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,setProvider/1[org.joda.time.tz.Provider],cProvider,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,DateTimeZone/1[java.lang.String],iID,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,forOffsetMillis/1[int],MAX_MILLIS,2
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,"getShortName/2[long,java.util.Locale]",iID,3
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,getID/0,iID,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,getDefault/0,UTC,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,getDefault/0,cDefault,3
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,validateProvider/1[org.joda.time.tz.Provider],UTC,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,getDefaultProvider/0,DEFAULT_TZ_DATA_PATH,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,"getName/2[long,java.util.Locale]",iID,3
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,toTimeZone/0,iID,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,getProvider/0,cProvider,3
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,getNameProvider/0,cNameProvider,3
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,setNameProvider/1[org.joda.time.tz.NameProvider],cNameProvider,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,setDefault/1[org.joda.time.DateTimeZone],cDefault,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,writeReplace/0,iID,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/0,iRules,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/0,iUpperYear,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,setStandardOffset/1[int],iStandardOffset,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,firstTransition/1[long],iStandardOffset,5
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,firstTransition/1[long],iInitialNameKey,2
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,firstTransition/1[long],iInitialSaveMillis,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,firstTransition/1[long],iRules,2
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/1[org.joda.time.tz.DateTimeZoneBuilder.RuleSet],iStandardOffset,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/1[org.joda.time.tz.DateTimeZoneBuilder.RuleSet],iInitialNameKey,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/1[org.joda.time.tz.DateTimeZoneBuilder.RuleSet],iRules,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/1[org.joda.time.tz.DateTimeZoneBuilder.RuleSet],iInitialSaveMillis,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/1[org.joda.time.tz.DateTimeZoneBuilder.RuleSet],iUpperYear,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,RuleSet/1[org.joda.time.tz.DateTimeZoneBuilder.RuleSet],iUpperOfYear,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,toString/0,iStandardOffset,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,toString/0,iInitialNameKey,1
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\tz\DateTimeZoneBuilder.java,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,toString/0,iInitialSaveMillis,1
