file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,convertUTCToLocal/1[long],false,990,1,19,18,1,3,1,8,1,2,1,1,1,1,0,0,0,2,1,2,2,1,1,0,0,0,40,1,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,setProvider/1[org.joda.time.tz.Provider],false,469,3,3,0,3,3,5,13,0,1,1,5,2,2,0,2,0,0,1,0,2,0,1,0,0,0,37,9,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,DateTimeZone/1[java.lang.String],true,717,0,0,0,0,2,0,6,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,18,4,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,"adjustOffset/2[long,boolean]",false,1132,1,4,2,2,7,2,23,4,9,2,2,2,1,0,0,0,0,0,2,9,10,1,0,0,0,31,1,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,equals/1[java.lang.Object],false,1205,0,17,17,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1025,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,printOffset/1[int],false,672,1,6,5,1,4,3,30,3,4,1,3,0,0,0,2,0,0,0,7,8,6,1,0,0,0,31,10,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,toString/0,false,1229,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,isFixed/0,false,1166,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1025,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,forOffsetMillis/1[int],false,331,1,7,5,2,3,2,7,1,1,1,2,2,1,0,0,0,0,1,0,1,1,1,0,0,0,37,9,0,true
C:\Users\draj0.CHANDRIKAV\Downloads\joda-time-main\joda-time-main\src\main\java\org\joda\time\DateTimeZone.java,org.joda.time.DateTimeZone,"getShortName/2[long,java.util.Locale]",false,771,3,9,2,7,5,8,21,3,3,2,8,5,3,0,3,0,1,0,0,5,0,1,0,0,0,42,1,0,true
