file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\Pet.java,org.springframework.samples.petclinic.owner.Pet,class,12,17,5,12,6,3,0,2,11,0.72222227,0.13333334,0.13333334,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,6,0,3,0,3,0,0,0,0,31,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,class,13,13,0,13,6,1,0,8,4,0.4,0.3,0.3,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,29,4,0,0,0,0,11,0,4,0,4,1,0,0,0,69,0,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\PetClinicRuntimeHints.java,org.springframework.samples.petclinic.PetClinicRuntimeHints,class,2,3,1,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\model\BaseEntity.java,org.springframework.samples.petclinic.model.BaseEntity,class,3,10,7,3,4,1,3,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,1,0,0,0,0,1,0,1,0,0,0,0,29,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\PetClinicApplication.java,org.springframework.samples.petclinic.PetClinicApplication,class,4,5,1,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\system\CrashController.java,org.springframework.samples.petclinic.system.CrashController,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,27,0,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\model\NamedEntity.java,org.springframework.samples.petclinic.model.NamedEntity,class,4,12,8,4,3,2,3,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,28,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\vet\Vets.java,org.springframework.samples.petclinic.vet.Vets,class,3,4,1,3,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,1,0,1,1,0,0,0,21,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\vet\VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,interface,6,7,1,6,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\OwnerRepository.java,org.springframework.samples.petclinic.owner.OwnerRepository,interface,8,12,4,8,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,105,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\system\WelcomeController.java,org.springframework.samples.petclinic.system.WelcomeController,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
