file,class,method,variable,usage
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\Pet.java,org.springframework.samples.petclinic.owner.Pet,setType/1[org.springframework.samples.petclinic.owner.PetType],type,2
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\Pet.java,org.springframework.samples.petclinic.owner.Pet,addVisit/1[org.springframework.samples.petclinic.owner.Visit],visit,1
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\Pet.java,org.springframework.samples.petclinic.owner.Pet,setBirthDate/1[java.time.LocalDate],birthDate,2
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,setAllowedFields/1[org.springframework.samples.petclinic.owner.WebDataBinder],dataBinder,1
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"processNewVisitForm/4[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.owner.BindingResult]",owner,2
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"processNewVisitForm/4[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.owner.BindingResult]",result,1
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"processNewVisitForm/4[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.owner.BindingResult]",petId,1
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"processNewVisitForm/4[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.owner.BindingResult]",visit,1
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,VisitController/1[org.springframework.samples.petclinic.owner.OwnerRepository],owners,2
C:\Users\draj0.CHANDRIKAV\Downloads\spring-petclinic-main\spring-petclinic-main\src\main\java\org\springframework\samples\petclinic\owner\VisitController.java,org.springframework.samples.petclinic.owner.VisitController,"loadPetWithVisit/3[int,int,java.util.Map<java.lang.String,java.lang.Object>]",owner,2
