file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,AssertIterableEquals/0,true,33,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/3[java.lang.Iterable<?>,java.lang.Iterable<?>,java.lang.String]",false,41,1,3,2,1,1,1,3,0,0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/2[java.lang.Iterable<?>,java.lang.Iterable<?>]",false,37,1,2,1,1,1,1,3,0,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/5[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",false,55,3,5,2,3,4,8,18,1,5,5,8,3,3,1,1,0,0,0,1,5,0,1,0,0,0,18,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/3[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.function.Supplier<java.lang.String>]",false,45,1,2,1,1,1,1,3,0,0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterablesNotNull/4[java.lang.Object,java.lang.Object,java.util.Deque<java.lang.Integer>,java.lang.Object]",false,128,1,4,2,2,3,2,8,0,0,4,2,2,1,0,2,0,0,0,0,0,0,1,0,0,0,16,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"failExpectedIterableIsNull/2[java.util.Deque<java.lang.Integer>,java.lang.Object]",false,138,2,6,1,5,1,5,3,0,0,2,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIteratorsAreEmpty/5[java.util.Iterator<?>,java.util.Iterator<?>,int,java.util.Deque<java.lang.Integer>,java.lang.Object]",false,153,2,8,1,7,3,11,9,0,4,5,11,0,0,0,0,0,0,1,0,2,1,1,0,0,2,20,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableElementsEqual/5[java.lang.Object,java.lang.Object,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",false,83,3,5,1,4,6,7,23,2,2,5,7,3,3,0,2,0,0,0,0,2,0,2,0,0,0,17,10,0,false
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"failIterablesNotEqual/4[java.lang.Object,java.lang.Object,java.util.Deque<java.lang.Integer>,java.lang.Object]",false,172,2,8,1,7,1,7,3,0,0,4,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,10,0,false
