file,class,method,variable,usage
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/3[java.lang.Iterable<?>,java.lang.Iterable<?>,java.lang.String]",actual,1
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/3[java.lang.Iterable<?>,java.lang.Iterable<?>,java.lang.String]",expected,1
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/3[java.lang.Iterable<?>,java.lang.Iterable<?>,java.lang.String]",message,1
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/2[java.lang.Iterable<?>,java.lang.Iterable<?>]",actual,1
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/2[java.lang.Iterable<?>,java.lang.Iterable<?>]",expected,1
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/5[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",investigatedElements,1
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/5[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",actual,3
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/5[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",processed,3
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/5[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",messageOrSupplier,3
C:\Users\draj0.CHANDRIKAV\Downloads\junit5-main\junit5-main\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java,org.junit.jupiter.api.AssertIterableEquals,"assertIterableEquals/5[java.lang.Iterable<?>,java.lang.Iterable<?>,java.util.Deque<java.lang.Integer>,java.lang.Object,java.util.Map<org.junit.jupiter.api.AssertIterableEquals.Pair,org.junit.jupiter.api.AssertIterableEquals.Status>]",indexes,5
