file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\bytecode\internal\bytebuddy\ReflectionOptimizerImpl.java,org.hibernate.bytecode.internal.bytebuddy.ReflectionOptimizerImpl,class,3,4,1,3,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\from\VirtualTableGroup.java,org.hibernate.sql.ast.tree.from.VirtualTableGroup,interface,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\model\internal\FkSecondPass.java,org.hibernate.boot.model.internal.FkSecondPass,class,5,12,7,5,9,1,5,1,7,0.7083333,0.26666668,0.4,6,0,6,0,0,0,6,2,0,0,4,1,0,2,2,0,2,0,0,29,5,0,2,0,1,0,0,5,0,5,1,0,0,0,71,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\loader\ast\spi\SingleEntityLoader.java,org.hibernate.loader.ast.spi.SingleEntityLoader,interface,5,7,2,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\metamodel\mapping\DiscriminatorConverter.java,org.hibernate.metamodel.mapping.DiscriminatorConverter,class,13,16,3,13,24,1,0,34,30,0.7076923,0.20512821,0.7051282,13,1,13,0,0,0,13,0,0,0,5,0,0,5,0,0,5,0,0,93,15,1,8,0,1,3,0,15,1,19,2,0,0,3,92,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\CustomEntityDirtinessStrategy.java,org.hibernate.CustomEntityDirtinessStrategy,interface,3,4,1,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,131,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\engine\spi\ExceptionConverter.java,org.hibernate.engine.spi.ExceptionConverter,interface,3,6,3,3,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\event\spi\FlushEntityEventListener.java,org.hibernate.event.spi.FlushEntityEventListener,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\model\ast\AbstractTableInsert.java,org.hibernate.sql.model.ast.AbstractTableInsert,class,11,12,1,11,7,2,0,9,9,0.42857143,0.2857143,0.2857143,7,0,5,0,2,0,7,0,0,0,1,0,0,1,0,0,1,0,1,25,4,0,0,0,0,2,0,1,1,1,0,0,0,0,26,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\action\internal\AbstractEntityInsertAction.java,org.hibernate.action.internal.AbstractEntityInsertAction,class,19,23,4,19,30,2,2,42,63,0.78571427,0.21212122,0.42424244,14,0,6,2,6,0,12,2,2,0,4,0,0,4,0,0,1,0,0,98,2,2,5,0,2,0,2,20,0,17,3,0,0,0,154,1025,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\dialect\H2DurationIntervalSecondJdbcType.java,org.hibernate.dialect.H2DurationIntervalSecondJdbcType$Anonymous1,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\metamodel\mapping\EntityMappingType.java,org.hibernate.metamodel.mapping.EntityMappingType,interface,47,119,72,47,73,1,0,47,2278,0.0,0.0,0.0,68,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,195,39,1,3,0,0,7,0,9,2,10,2,0,1,2,336,1,0
